UIDX,CRITICAL FLAG
te-313,Critical
te-314,Critical
te-315,Critical
te-316,Not Critical
te-317,Not Critical
te-318,Critical
te-319,Critical
te-320,Critical
te-321,Critical
te-322,Not Critical
te-323,Critical
te-324,Critical
te-325,Not Critical
te-326,Not Critical
te-327,Not Critical
te-328,Critical
te-329,Not Critical
te-330,Critical
te-331,Critical
te-332,Not Critical
te-333,Not Critical
te-334,Not Applicable
te-335,Critical
te-336,Critical
te-337,Not Critical
te-338,Critical
te-339,Not Critical
te-340,Critical
te-341,Not Critical
te-342,Critical
te-343,Critical
te-344,Not Critical
te-345,Critical
te-346,Critical
te-347,Critical
te-348,Not Critical
te-349,Not Critical
te-350,Critical
te-351,Critical
te-352,Not Critical
te-353,Not Critical
te-354,Critical
te-355,Critical
te-356,Critical
te-357,Not Critical
te-358,Not Critical
te-359,Not Critical
te-360,Not Critical
te-361,Not Applicable
te-362,Not Critical
te-363,Not Critical
te-364,Critical
te-365,Not Critical
te-366,Not Critical
te-367,Not Critical
te-368,Not Critical
te-369,Not Critical
te-370,Critical
te-371,Not Critical
te-372,Critical
te-373,Not Critical
te-374,Critical
te-375,Not Critical
te-376,Critical
te-377,Not Critical
te-378,Critical
te-379,Critical
te-380,Critical
te-381,Not Critical
te-382,Critical
te-383,Not Critical
te-384,Not Critical
te-385,Critical
te-386,Not Critical
te-387,Critical
te-388,Not Critical
te-389,Not Critical
te-390,Critical
te-391,Not Applicable
te-392,Critical
te-393,Not Critical
te-394,Not Critical
te-395,Not Applicable
te-396,Critical
te-397,Critical
te-398,Not Critical
te-399,Not Critical
te-400,Critical
te-401,Critical
te-402,Critical
te-403,Not Critical
te-404,Critical
te-405,Critical
te-406,Not Critical
te-407,Not Critical
te-408,Not Critical
te-409,Not Critical
te-410,Not Critical
te-411,Not Critical
te-412,Not Critical
te-413,Not Critical
te-414,Critical
te-415,Critical
te-416,Critical
te-417,Critical
te-418,Critical
te-419,Not Critical
te-420,Critical
te-421,Critical
te-422,Critical
te-423,Critical
te-424,Critical
te-425,Critical
te-426,Not Critical
te-427,Not Critical
te-428,Critical
te-429,Not Critical
te-430,Critical
te-431,Not Critical
te-432,Critical
te-433,Not Critical
te-434,Critical
te-435,Not Critical
te-436,Not Applicable
te-437,Critical
te-438,Not Critical
te-439,Critical
te-440,Critical
te-441,Not Critical
te-442,Critical
te-443,Critical
te-444,Critical
te-445,Critical
te-446,Not Critical
te-447,Critical
te-448,Critical
te-449,Critical
te-450,Critical
te-451,Not Critical
te-452,Not Applicable
te-453,Not Critical
te-454,Critical
te-455,Critical
te-456,Not Critical
te-457,Critical
te-458,Not Critical
te-459,Critical
te-460,Critical
te-461,Critical
te-462,Not Critical
te-463,Critical
te-464,Critical
te-465,Critical
te-466,Critical
te-467,Not Critical
te-468,Not Critical
te-469,Not Critical
te-470,Critical
te-471,Critical
te-472,Critical
te-473,Critical
te-474,Critical
te-475,Critical
te-476,Critical
te-477,Critical
te-478,Critical
te-479,Not Applicable
te-480,Not Critical
te-481,Critical
te-482,Not Critical
te-483,Critical
te-484,Critical
te-485,Not Critical
te-486,Not Critical
te-487,Not Critical
te-488,Critical
te-489,Not Critical
te-490,Critical
te-491,Not Critical
te-492,Critical
te-493,Critical
te-494,Not Critical
te-495,Not Critical
te-496,Critical
te-497,Critical
te-498,Critical
te-499,Critical
te-500,Not Applicable
te-501,Not Critical
te-502,Critical
te-503,Not Critical
te-504,Not Critical
te-505,Not Critical
te-506,Critical
te-507,Not Applicable
te-508,Critical
te-509,Not Critical
te-510,Critical
te-511,Critical
te-512,Critical
te-513,Not Critical
te-514,Critical
te-515,Not Critical
te-516,Critical
te-517,Critical
te-518,Not Critical
te-519,Critical
te-520,Critical
te-521,Critical
te-522,Critical
te-523,Critical
te-524,Critical
te-525,Critical
te-526,Critical
te-527,Not Critical
te-528,Critical
te-529,Critical
te-530,Critical
te-531,Critical
te-532,Not Critical
te-533,Critical
te-534,Critical
te-535,Critical
te-536,Critical
te-537,Not Applicable
te-538,Critical
te-539,Critical
te-540,Critical
te-541,Critical
te-542,Not Critical
te-543,Not Critical
te-544,Not Critical
te-545,Not Critical
te-546,Critical
te-547,Not Applicable
te-548,Critical
te-549,Critical
te-550,Critical
te-551,Critical
te-552,Critical
te-553,Critical
te-554,Not Critical
te-555,Critical
te-556,Not Critical
te-557,Critical
te-558,Critical
te-559,Critical
te-560,Not Applicable
te-561,Critical
te-562,Critical
te-563,Critical
te-564,Not Critical
te-565,Not Critical
te-566,Not Critical
te-567,Not Critical
te-568,Critical
te-569,Critical
te-570,Not Critical
te-571,Not Critical
te-572,Critical
te-573,Critical
te-574,Critical
te-575,Critical
te-576,Critical
te-577,Critical
te-578,Critical
te-579,Not Critical
te-580,Not Critical
te-581,Critical
te-582,Not Critical
te-583,Critical
te-584,Critical
te-585,Not Critical
te-586,Critical
te-587,Critical
te-588,Critical
te-589,Not Applicable
te-590,Not Critical
te-591,Not Critical
te-592,Critical
te-593,Critical
te-594,Critical
te-595,Critical
te-596,Critical
te-597,Not Critical
te-598,Not Critical
te-599,Critical
te-600,Critical
te-601,Not Critical
te-602,Critical
te-603,Critical
te-604,Not Critical
te-605,Critical
te-606,Not Critical
te-607,Critical
te-608,Critical
te-609,Not Critical
te-610,Critical
te-611,Critical
te-612,Not Critical
te-613,Critical
te-614,Critical
te-615,Critical
te-616,Critical
te-617,Critical
te-618,Not Critical
te-619,Critical
te-620,Critical
te-621,Critical
te-622,Critical
te-623,Critical
te-624,Critical
te-625,Critical
te-626,Critical
te-627,Critical
te-628,Critical
te-629,Not Critical
te-630,Critical
te-631,Critical
te-632,Critical
te-633,Critical
te-634,Not Critical
te-635,Critical
te-636,Not Critical
te-637,Critical
te-638,Critical
te-639,Critical
te-640,Critical
te-641,Critical
te-642,Critical
te-643,Critical
te-644,Critical
te-645,Not Critical
te-646,Not Critical
te-647,Not Critical
te-648,Not Applicable
te-649,Not Critical
te-650,Not Applicable
te-651,Not Critical
te-652,Not Critical
te-653,Not Critical
te-654,Critical
te-655,Not Critical
te-656,Critical
te-657,Critical
te-658,Not Critical
te-659,Not Critical
te-660,Critical
te-661,Not Critical
te-662,Not Critical
te-663,Critical
te-664,Critical
te-665,Critical
te-666,Critical
te-667,Critical
te-668,Not Critical
te-669,Critical
te-670,Not Critical
te-671,Not Critical
te-672,Critical
te-673,Not Critical
te-674,Not Critical
te-675,Critical
te-676,Not Critical
te-677,Critical
te-678,Critical
te-679,Not Critical
te-680,Not Critical
te-681,Critical
te-682,Critical
te-683,Critical
te-684,Critical
te-685,Critical
te-686,Not Critical
te-687,Not Critical
te-688,Not Critical
te-689,Critical
te-690,Critical
te-691,Not Critical
te-692,Critical
te-693,Critical
te-694,Critical
te-695,Critical
te-696,Not Critical
te-697,Critical
te-698,Not Critical
te-699,Critical
te-700,Critical
te-701,Critical
te-702,Critical
te-703,Critical
te-704,Critical
te-705,Critical
te-706,Critical
te-707,Critical
te-708,Not Critical
te-709,Critical
te-710,Not Critical
te-711,Critical
te-712,Critical
te-713,Critical
te-714,Critical
te-715,Not Applicable
te-716,Not Critical
te-717,Not Critical
te-718,Critical
te-719,Not Critical
te-720,Not Critical
te-721,Not Critical
te-722,Not Applicable
te-723,Not Critical
te-724,Critical
te-725,Not Critical
te-726,Critical
te-727,Critical
te-728,Not Critical
te-729,Critical
te-730,Critical
te-731,Not Critical
te-732,Critical
te-733,Critical
te-734,Critical
te-735,Not Critical
te-736,Not Critical
te-737,Not Critical
te-738,Critical
te-739,Critical
te-740,Critical
te-741,Critical
te-742,Not Critical
te-743,Not Applicable
te-744,Critical
te-745,Critical
te-746,Not Critical
te-747,Critical
te-748,Critical
te-749,Not Critical
te-750,Not Critical
te-751,Critical
te-752,Not Critical
te-753,Not Critical
te-754,Critical
te-755,Not Critical
te-756,Critical
te-757,Not Critical
te-758,Critical
te-759,Critical
te-760,Not Critical
te-761,Critical
te-762,Critical
te-763,Critical
te-764,Critical
te-765,Critical
te-766,Critical
te-767,Not Applicable
te-768,Not Critical
te-769,Not Critical
te-770,Critical
te-771,Critical
te-772,Not Critical
te-773,Critical
te-774,Critical
te-775,Not Critical
te-776,Critical
te-777,Not Applicable
te-778,Critical
te-779,Critical
te-780,Not Critical
te-781,Critical
te-782,Not Critical
te-783,Critical
te-784,Not Critical
te-785,Not Critical
te-786,Critical
te-787,Not Applicable
te-788,Not Applicable
te-789,Not Critical
te-790,Not Critical
te-791,Not Applicable
te-792,Critical
te-793,Critical
te-794,Not Critical
te-795,Critical
te-796,Not Critical
te-797,Critical
te-798,Critical
te-799,Critical
te-800,Critical
te-801,Critical
te-802,Critical
te-803,Critical
te-804,Not Critical
te-805,Critical
te-806,Critical
te-807,Critical
te-808,Not Critical
te-809,Not Critical
te-810,Not Critical
te-811,Not Critical
te-812,Critical
te-813,Critical
te-814,Critical
te-815,Not Applicable
te-816,Not Critical
te-817,Not Critical
te-818,Not Critical
te-819,Critical
te-820,Not Applicable
te-821,Critical
te-822,Critical
te-823,Critical
te-824,Not Critical
te-825,Critical
te-826,Critical
te-827,Not Applicable
te-828,Not Critical
te-829,Critical
te-830,Not Applicable
te-831,Critical
te-832,Critical
te-833,Not Critical
te-834,Critical
te-835,Critical
te-836,Critical
te-837,Not Critical
te-838,Not Critical
te-839,Critical
te-840,Not Critical
te-841,Not Critical
te-842,Critical
te-843,Not Critical
te-844,Critical
te-845,Not Critical
te-846,Not Critical
te-847,Critical
te-848,Not Critical
te-849,Critical
te-850,Critical
te-851,Critical
te-852,Not Critical
te-853,Critical
te-854,Not Critical
te-855,Critical
te-856,Not Critical
te-857,Critical
te-858,Not Critical
te-859,Critical
te-860,Not Critical
te-861,Not Critical
te-862,Critical
te-863,Critical
te-864,Critical
te-865,Not Critical
te-866,Critical
te-867,Critical
te-868,Not Critical
te-869,Critical
te-870,Critical
te-871,Critical
te-872,Critical
te-873,Critical
te-874,Not Critical
te-875,Critical
te-876,Critical
te-877,Critical
te-878,Not Critical
te-879,Not Critical
te-880,Not Critical
te-881,Critical
te-882,Not Critical
te-883,Not Critical
te-884,Critical
te-885,Not Critical
te-886,Critical
te-887,Critical
te-888,Not Applicable
te-889,Not Critical
te-890,Not Critical
te-891,Critical
te-892,Critical
te-893,Not Critical
te-894,Not Critical
te-895,Critical
te-896,Not Critical
te-897,Critical
te-898,Critical
te-899,Not Critical
te-900,Critical
te-901,Critical
te-902,Not Critical
te-903,Not Critical
te-904,Critical
te-905,Not Critical
te-906,Not Applicable
te-907,Critical
te-908,Not Critical
te-909,Not Critical
te-910,Not Critical
te-911,Not Critical
te-912,Critical
te-913,Critical
te-914,Not Applicable
te-915,Not Critical
te-916,Not Critical
te-917,Not Applicable
te-918,Not Critical
te-919,Not Critical
te-920,Critical
te-921,Not Critical
te-922,Critical
te-923,Critical
te-924,Not Critical
te-925,Critical
te-926,Not Critical
te-927,Not Critical
te-928,Critical
te-929,Not Applicable
te-930,Not Critical
te-931,Not Critical
te-932,Critical
te-933,Not Applicable
te-934,Critical
te-935,Critical
te-936,Not Critical
te-937,Not Critical
te-938,Not Critical
te-939,Critical
te-940,Critical
te-941,Critical
te-942,Not Critical
te-943,Not Critical
te-944,Not Critical
te-945,Critical
te-946,Not Critical
te-947,Critical
te-948,Not Applicable
te-949,Not Critical
te-950,Not Critical
te-951,Critical
te-952,Critical
te-953,Critical
te-954,Not Critical
te-955,Not Critical
te-956,Critical
te-957,Critical
te-958,Not Critical
te-959,Not Critical
te-960,Critical
te-961,Critical
te-962,Critical
te-963,Critical
te-964,Critical
te-965,Critical
te-966,Critical
te-967,Critical
te-968,Critical
te-969,Not Critical
te-970,Critical
te-971,Not Critical
te-972,Critical
te-973,Not Critical
te-974,Critical
te-975,Not Critical
te-976,Critical
te-977,Not Critical
te-978,Not Critical
te-979,Critical
te-980,Critical
te-981,Not Critical
te-982,Not Critical
te-983,Not Critical
te-984,Critical
te-985,Critical
te-986,Not Applicable
te-987,Critical
te-988,Not Applicable
te-989,Critical
te-990,Critical
te-991,Not Critical
te-992,Not Critical
te-993,Not Applicable
te-994,Critical
te-995,Critical
te-996,Not Critical
te-997,Not Critical
te-998,Not Critical
te-999,Critical
te-1000,Not Critical
te-1001,Critical
te-1002,Critical
te-1003,Not Critical
te-1004,Not Critical
te-1005,Not Critical
te-1006,Critical
te-1007,Not Critical
te-1008,Critical
te-1009,Critical
te-1010,Not Critical
te-1011,Critical
te-1012,Critical
te-1013,Not Critical
te-1014,Not Critical
te-1015,Critical
te-1016,Critical
te-1017,Critical
te-1018,Critical
te-1019,Critical
te-1020,Critical
te-1021,Critical
te-1022,Critical
te-1023,Critical
te-1024,Not Applicable
te-1025,Critical
te-1026,Not Critical
te-1027,Not Applicable
te-1028,Critical
te-1029,Not Critical
te-1030,Not Critical
te-1031,Critical
te-1032,Not Critical
te-1033,Critical
te-1034,Critical
te-1035,Critical
te-1036,Not Critical
te-1037,Not Critical
te-1038,Not Critical
te-1039,Not Critical
te-1040,Critical
te-1041,Critical
te-1042,Not Critical
te-1043,Critical
te-1044,Critical
te-1045,Critical
te-1046,Critical
te-1047,Not Critical
te-1048,Critical
te-1049,Not Critical
te-1050,Critical
te-1051,Critical
te-1052,Not Critical
te-1053,Not Critical
te-1054,Critical
te-1055,Critical
te-1056,Not Critical
te-1057,Not Critical
te-1058,Not Critical
te-1059,Critical
te-1060,Critical
te-1061,Not Critical
te-1062,Not Critical
te-1063,Critical
te-1064,Critical
te-1065,Critical
te-1066,Critical
te-1067,Not Critical
te-1068,Not Critical
te-1069,Critical
te-1070,Not Critical
te-1071,Not Critical
te-1072,Critical
te-1073,Critical
te-1074,Critical
te-1075,Critical
te-1076,Not Critical
te-1077,Critical
te-1078,Not Critical
te-1079,Critical
te-1080,Critical
te-1081,Not Critical
te-1082,Critical
te-1083,Not Critical
te-1084,Critical
te-1085,Not Critical
te-1086,Not Critical
te-1087,Critical
te-1088,Not Critical
te-1089,Not Critical
te-1090,Critical
te-1091,Critical
te-1092,Critical
te-1093,Critical
te-1094,Critical
te-1095,Not Critical
te-1096,Critical
te-1097,Critical
te-1098,Critical
te-1099,Critical
te-1100,Critical
te-1101,Critical
te-1102,Critical
te-1103,Not Critical
te-1104,Critical
te-1105,Critical
te-1106,Critical
te-1107,Critical
te-1108,Critical
te-1109,Critical
te-1110,Critical
te-1111,Critical
te-1112,Not Critical
te-1113,Not Critical
te-1114,Critical
te-1115,Not Critical
te-1116,Not Critical
te-1117,Not Critical
te-1118,Critical
te-1119,Not Critical
te-1120,Critical
te-1121,Critical
te-1122,Not Critical
te-1123,Critical
te-1124,Critical
te-1125,Critical
te-1126,Critical
te-1127,Critical
te-1128,Critical
te-1129,Critical
te-1130,Not Critical
te-1131,Not Critical
te-1132,Not Critical
te-1133,Not Critical
te-1134,Not Critical
te-1135,Critical
te-1136,Not Critical
te-1137,Not Critical
te-1138,Critical
te-1139,Critical
te-1140,Not Critical
te-1141,Not Critical
te-1142,Critical
te-1143,Critical
te-1144,Critical
te-1145,Not Critical
te-1146,Critical
te-1147,Not Critical
te-1148,Critical
te-1149,Critical
te-1150,Critical
te-1151,Critical
te-1152,Not Critical
te-1153,Critical
te-1154,Critical
te-1155,Critical
te-1156,Critical
te-1157,Not Critical
te-1158,Not Critical
te-1159,Not Critical
te-1160,Critical
te-1161,Critical
te-1162,Critical
te-1163,Not Critical
te-1164,Not Critical
te-1165,Not Applicable
te-1166,Not Applicable
te-1167,Critical
te-1168,Not Critical
te-1169,Critical
te-1170,Not Critical
te-1171,Critical
te-1172,Critical
te-1173,Critical
te-1174,Critical
te-1175,Not Critical
te-1176,Not Critical
te-1177,Critical
te-1178,Critical
te-1179,Not Critical
te-1180,Critical
te-1181,Not Critical
te-1182,Not Critical
te-1183,Critical
te-1184,Critical
te-1185,Critical
te-1186,Critical
te-1187,Critical
te-1188,Critical
te-1189,Critical
te-1190,Critical
te-1191,Critical
te-1192,Critical
te-1193,Not Applicable
te-1194,Critical
te-1195,Critical
te-1196,Critical
te-1197,Critical
te-1198,Critical
te-1199,Not Critical
te-1200,Not Critical
te-1201,Critical
te-1202,Not Critical
te-1203,Critical
te-1204,Critical
te-1205,Critical
te-1206,Critical
te-1207,Not Critical
te-1208,Not Critical
te-1209,Critical
te-1210,Critical
te-1211,Not Critical
te-1212,Not Critical
te-1213,Not Critical
te-1214,Critical
te-1215,Not Critical
te-1216,Critical
te-1217,Critical
te-1218,Critical
te-1219,Not Critical
te-1220,Critical
te-1221,Not Critical
te-1222,Not Critical
te-1223,Critical
te-1224,Not Critical
te-1225,Not Critical
te-1226,Not Critical
te-1227,Not Critical
te-1228,Not Critical
te-1229,Critical
te-1230,Critical
te-1231,Not Critical
te-1232,Not Critical
te-1233,Critical
te-1234,Critical
te-1235,Critical
te-1236,Critical
te-1237,Critical
te-1238,Not Critical
te-1239,Not Applicable
te-1240,Not Critical
te-1241,Not Applicable
te-1242,Critical
te-1243,Critical
te-1244,Not Critical
te-1245,Not Critical
te-1246,Critical
te-1247,Not Critical
te-1248,Not Critical
te-1249,Critical
te-1250,Critical
te-1251,Not Critical
te-1252,Critical
te-1253,Critical
te-1254,Critical
te-1255,Not Critical
te-1256,Critical
te-1257,Not Critical
te-1258,Critical
te-1259,Critical
te-1260,Not Critical
te-1261,Not Critical
te-1262,Not Critical
te-1263,Not Critical
te-1264,Critical
te-1265,Critical
te-1266,Critical
te-1267,Critical
te-1268,Critical
te-1269,Critical
te-1270,Critical
te-1271,Critical
te-1272,Not Critical
te-1273,Critical
te-1274,Critical
te-1275,Critical
te-1276,Not Critical
te-1277,Not Critical
te-1278,Critical
te-1279,Not Critical
te-1280,Critical
te-1281,Not Critical
te-1282,Not Applicable
te-1283,Not Critical
te-1284,Not Critical
te-1285,Not Critical
te-1286,Critical
te-1287,Not Critical
te-1288,Not Applicable
te-1289,Not Critical
te-1290,Critical
te-1291,Critical
te-1292,Critical
te-1293,Not Critical
te-1294,Critical
te-1295,Critical
te-1296,Critical
te-1297,Not Applicable
te-1298,Not Critical
te-1299,Critical
te-1300,Critical
te-1301,Critical
te-1302,Not Critical
te-1303,Critical
te-1304,Critical
te-1305,Critical
te-1306,Critical
te-1307,Critical
te-1308,Not Critical
te-1309,Not Critical
te-1310,Not Critical
te-1311,Not Critical
te-1312,Critical
te-1313,Critical
te-1314,Not Critical
te-1315,Not Critical
te-1316,Critical
te-1317,Not Critical
te-1318,Critical
te-1319,Not Critical
te-1320,Not Critical
te-1321,Critical
te-1322,Critical
te-1323,Critical
te-1324,Not Critical
te-1325,Not Critical
te-1326,Critical
te-1327,Not Critical
te-1328,Not Critical
te-1329,Critical
te-1330,Not Critical
te-1331,Critical
te-1332,Critical
te-1333,Not Critical
te-1334,Critical
te-1335,Critical
te-1336,Critical
te-1337,Critical
te-1338,Critical
te-1339,Not Critical
te-1340,Critical
te-1341,Not Critical
te-1342,Critical
te-1343,Not Critical
te-1344,Not Critical
te-1345,Not Applicable
te-1346,Not Critical
te-1347,Critical
te-1348,Not Critical
te-1349,Critical
te-1350,Critical
te-1351,Critical
te-1352,Not Critical
te-1353,Not Critical
te-1354,Not Applicable
te-1355,Critical
te-1356,Critical
te-1357,Critical
te-1358,Critical
te-1359,Not Critical
te-1360,Not Critical
te-1361,Critical
te-1362,Not Applicable
te-1363,Critical
te-1364,Not Critical
te-1365,Not Critical
te-1366,Critical
te-1367,Not Critical
te-1368,Critical
te-1369,Critical
te-1370,Critical
te-1371,Critical
te-1372,Critical
te-1373,Critical
te-1374,Critical
te-1375,Critical
te-1376,Critical
te-1377,Not Critical
te-1378,Critical
te-1379,Not Critical
te-1380,Critical
te-1381,Not Critical
te-1382,Not Critical
te-1383,Critical
te-1384,Critical
te-1385,Not Critical
te-1386,Not Applicable
te-1387,Critical
te-1388,Not Critical
te-1389,Critical
te-1390,Not Critical
te-1391,Not Applicable
te-1392,Critical
te-1393,Critical
te-1394,Critical
te-1395,Not Critical
te-1396,Critical
te-1397,Critical
te-1398,Not Critical
te-1399,Critical
te-1400,Not Critical
te-1401,Critical
te-1402,Critical
te-1403,Critical
te-1404,Critical
te-1405,Not Critical
te-1406,Critical
te-1407,Not Applicable
te-1408,Critical
te-1409,Critical
te-1410,Critical
te-1411,Critical
te-1412,Critical
te-1413,Critical
te-1414,Critical
te-1415,Critical
te-1416,Not Critical
te-1417,Critical
te-1418,Critical
te-1419,Not Critical
te-1420,Not Critical
te-1421,Critical
te-1422,Critical
te-1423,Critical
te-1424,Critical
te-1425,Not Critical
te-1426,Not Critical
te-1427,Critical
te-1428,Critical
te-1429,Critical
te-1430,Critical
te-1431,Critical
te-1432,Critical
te-1433,Not Critical
te-1434,Not Critical
te-1435,Critical
te-1436,Not Critical
te-1437,Not Critical
te-1438,Not Critical
te-1439,Critical
te-1440,Not Critical
te-1441,Not Critical
te-1442,Not Critical
te-1443,Critical
te-1444,Critical
te-1445,Not Applicable
te-1446,Critical
te-1447,Critical
te-1448,Not Critical
te-1449,Not Critical
te-1450,Not Critical
te-1451,Critical
te-1452,Critical
te-1453,Not Critical
te-1454,Not Critical
te-1455,Not Critical
te-1456,Critical
te-1457,Not Critical
te-1458,Critical
te-1459,Critical
te-1460,Not Critical
te-1461,Critical
te-1462,Critical
te-1463,Not Critical
te-1464,Critical
te-1465,Critical
te-1466,Not Critical
te-1467,Critical
te-1468,Not Applicable
te-1469,Not Critical
te-1470,Not Critical
te-1471,Critical
te-1472,Critical
te-1473,Critical
te-1474,Not Critical
te-1475,Not Critical
te-1476,Critical
te-1477,Not Critical
te-1478,Not Critical
te-1479,Critical
te-1480,Not Critical
te-1481,Not Applicable
te-1482,Not Critical
te-1483,Not Critical
te-1484,Not Applicable
te-1485,Critical
te-1486,Critical
te-1487,Not Critical
te-1488,Critical
te-1489,Not Critical
te-1490,Critical
te-1491,Not Critical
te-1492,Not Critical
te-1493,Not Critical
te-1494,Critical
te-1495,Critical
te-1496,Critical
te-1497,Not Critical
te-1498,Not Critical
te-1499,Critical
te-1500,Critical
te-1501,Critical
te-1502,Critical
te-1503,Not Applicable
te-1504,Not Critical
te-1505,Not Critical
te-1506,Critical
te-1507,Critical
te-1508,Critical
